Name, Symbol, Atomic_Radius,
Silver, Ag,144,1.44
Aluminum, Al,143,1.43
Arsenic, As,139,1.39
Gold, Au,146,1.46
Boron, B,98,0.98
Barium, Ba,222,2.22
Beryllium, Be,112,1.12
Bismuth, Bi,170,1.7
Bromine, Br,93,0.93
Carbon, C,91,0.91
Calcium, Ca,197,1.97
Cadmium, Cd,154,1.54
Cerium, Ce,181,1.81
Chlorine, Cl,79,0.79
Cobalt, Co,125,1.25
Chromium, Cr,130,1.3
Cesium, Cs,267,2.67
Copper, Cu,128,1.28
Dysprosium, Dy,180,1.8
Erbium, Er,178,1.78
Europium, Eu,199,1.99
Fluorine, F,42,0.42
Iron, Fe,126,1.26
Gallium, Ga,141,1.41
Gadolinium, Gd,179,1.79
Germanium, Ge,137,1.37
Hydrogen, H,79,0.79
Hafnium, Hf,167,1.67
Mercury, Hg,157,1.57
Holmium, Ho,179,1.79
Iodine, I,115,1.15
Indium, In,166,1.66
Iridium, Ir,136,1.36
Potassium, K,235,2.35
Lanthanum, La,187,1.87
Lithium, Li,155,1.55
Lutetium, Lu,175,1.75
Magnesium, Mg,160,1.6
Manganese, Mn,135,1.35
Molybdenum, Mo,139,1.39
Nitrogen, N,92,0.92
Sodium, Na,190,1.9
Niobium, Nb,146,1.46
Neodymium, Nd,182,1.82
Neon, Ne,38,0.38
Nickel, Ni,124,1.24
,Ns,0,0
Oxygen, O,48,0.48
Osmium, Os,135,1.35
Phosphorus, P,128,1.28
Lead, Pb,175,1.75
Palladium, Pd,137,1.37
Praseodymium, Pr,182,1.82
Platinum, Pt,139,1.39
Rubidium, Rb,248,2.48
Rhenium, Re,137,1.37
Rhodium, Rh,134,1.34
Ruthenium, Ru,134,1.34
Sulfur, S,127,1.27
Antimony, Sb,159,1.59
Scandium, Sc,162,1.62
Selenium, Se,140,1.4
Silicon, Si,132,1.32
Samarium, Sm,181,1.81
Tin, Sn,162,1.62
Strontium, Sr,215,2.15
Tantalum, Ta,149,1.49
Terbium, Tb,180,1.8
Tellurium, Te,160,1.6
Titanium, Ti,147,1.47
Thallium, Tl,171,1.71
Thulium, Tm,177,1.77
Vanadium, V,134,1.34
Tungsten, W,141,1.41
Yttrium, Y,178,1.78
Ytterbium, Yb,194,1.94
Zinc, Zn,138,1.38
Zirconium, Zr,160,1.6
